B,gamma_min,gamma_max,alpha,delta,chi_squared
0.1,1000.0,10000.0,2.0,3.0,0.4388836153249148
0.1,1000.0,10000.0,2.0,3.56,0.3286490975860192
0.1,1000.0,10000.0,2.0,4.11,0.2493968936851495
0.1,1000.0,10000.0,2.0,4.67,0.1890098721398466
0.1,1000.0,10000.0,2.0,5.22,0.1442576897657337
0.1,1000.0,10000.0,2.0,5.78,0.1098323004817621
0.1,1000.0,10000.0,2.0,6.33,0.084418188497793
0.1,1000.0,10000.0,2.0,6.89,0.0651973718775594
0.1,1000.0,10000.0,2.0,7.44,0.0515148563780639
0.1,1000.0,10000.0,2.0,8.0,0.0418405373645631
0.1,1000.0,12300.0,2.0,3.0,0.4004521504340105
0.1,1000.0,12300.0,2.0,3.56,0.2970958031741281
0.1,1000.0,12300.0,2.0,4.11,0.2231619772857624
0.1,1000.0,12300.0,2.0,4.67,0.1670708781673869
0.1,1000.0,12300.0,2.0,5.22,0.1256640885092762
0.1,1000.0,12300.0,2.0,5.78,0.0940127249550167
0.1,1000.0,12300.0,2.0,6.33,0.0708201398347893
0.1,1000.0,12300.0,2.0,6.89,0.0535075399463431
0.1,1000.0,12300.0,2.0,7.44,0.0413842503703331
0.1,1000.0,12300.0,2.0,8.0,0.0330636405522763
0.1,1000.0,15100.0,2.0,3.0,0.3693842523461845
0.1,1000.0,15100.0,2.0,3.56,0.2719129692779044
0.1,1000.0,15100.0,2.0,4.11,0.2024336520806928
0.1,1000.0,15100.0,2.0,4.67,0.1499146237154582
0.1,1000.0,15100.0,2.0,5.22,0.1112567990461596
0.1,1000.0,15100.0,2.0,5.78,0.0818453073165151
0.1,1000.0,15100.0,2.0,6.33,0.0604399833074704
0.1,1000.0,15100.0,2.0,6.89,0.0446349188555635
0.1,1000.0,15100.0,2.0,7.44,0.0337514454305168
0.1,1000.0,15100.0,2.0,8.0,0.0264768462670133
0.1,1000.0,18500.0,2.0,3.0,0.3444025014089672
0.1,1000.0,18500.0,2.0,3.56,0.2518627158006723
0.1,1000.0,18500.0,2.0,4.11,0.1860721843287375
0.1,1000.0,18500.0,2.0,4.67,0.1365003851927789
0.1,1000.0,18500.0,2.0,5.22,0.100096260777221
0.1,1000.0,18500.0,2.0,5.78,0.0724856009819013
0.1,1000.0,18500.0,2.0,6.33,0.0525185215601134
0.1,1000.0,18500.0,2.0,6.89,0.0378947713597768
0.1,1000.0,18500.0,2.0,7.44,0.0279866276118768
0.1,1000.0,18500.0,2.0,8.0,0.0215181663680366
0.1,1000.0,22700.0,2.0,3.0,0.3240272645854058
0.1,1000.0,22700.0,2.0,3.56,0.2356533086090428
0.1,1000.0,22700.0,2.0,4.11,0.172953537691364
0.1,1000.0,22700.0,2.0,4.67,0.1258358137999669
0.1,1000.0,22700.0,2.0,5.22,0.091308580785405
0.1,1000.0,22700.0,2.0,5.78,0.0651792693007108
0.1,1000.0,22700.0,2.0,6.33,0.0463809265258475
0.1,1000.0,22700.0,2.0,6.89,0.0326950138293616
0.1,1000.0,22700.0,2.0,7.44,0.0235485419142182
0.1,1000.0,22700.0,2.0,8.0,0.0177164192673127
0.1,1000.0,27800.0,2.0,3.0,0.3077289001533011
0.1,1000.0,27800.0,2.0,3.56,0.2227991489527755
0.1,1000.0,27800.0,2.0,4.11,0.1626371905377592
0.1,1000.0,27800.0,2.0,4.67,0.1175222371234374
0.1,1000.0,27800.0,2.0,5.22,0.0845315224357734
0.1,1000.0,27800.0,2.0,5.78,0.0595992602548938
0.1,1000.0,27800.0,2.0,6.33,0.0417160421308871
0.1,1000.0,27800.0,2.0,6.89,0.0287682578376035
0.1,1000.0,27800.0,2.0,7.44,0.0201960367164473
0.1,1000.0,27800.0,2.0,8.0,0.0148477801127544
0.1,1000.0,34100.0,2.0,3.0,0.2945035116385632
0.1,1000.0,34100.0,2.0,3.56,0.2124629031837363
0.1,1000.0,34100.0,2.0,4.11,0.1544153660586041
0.1,1000.0,34100.0,2.0,4.67,0.1109581291361208
0.1,1000.0,34100.0,2.0,5.22,0.0792468133339082
0.1,1000.0,34100.0,2.0,5.78,0.0552942960048544
0.1,1000.0,34100.0,2.0,6.33,0.0381345295233662
0.1,1000.0,34100.0,2.0,6.89,0.0257740834876506
0.1,1000.0,34100.0,2.0,7.44,0.0176320491025846
0.1,1000.0,34100.0,2.0,8.0,0.0126403273853379
0.1,1000.0,41900.0,2.0,3.0,0.2838324062767264
0.1,1000.0,41900.0,2.0,3.56,0.204206913344172
0.1,1000.0,41900.0,2.0,4.11,0.1479138023382974
0.1,1000.0,41900.0,2.0,4.67,0.105821640970034
0.1,1000.0,41900.0,2.0,5.22,0.0751596278259722
0.1,1000.0,41900.0,2.0,5.78,0.0520054100995126
0.1,1000.0,41900.0,2.0,6.33,0.0354234429749867
0.1,1000.0,41900.0,2.0,6.89,0.0235126657271285
0.1,1000.0,41900.0,2.0,7.44,0.0156933525364081
0.1,1000.0,41900.0,2.0,8.0,0.0109537732105415
0.1,1000.0,51400.0,2.0,3.0,0.2754186758058198
0.1,1000.0,51400.0,2.0,3.56,0.197773254944302
0.1,1000.0,51400.0,2.0,4.11,0.1429063357681671
0.1,1000.0,51400.0,2.0,4.67,0.1019138799406952
0.1,1000.0,51400.0,2.0,5.22,0.0720889606127411
0.1,1000.0,51400.0,2.0,5.78,0.0495754834896886
0.1,1000.0,51400.0,2.0,6.33,0.0334452157045923
0.1,1000.0,51400.0,2.0,6.89,0.021858686363311
0.1,1000.0,51400.0,2.0,7.44,0.0142743594802116
0.1,1000.0,51400.0,2.0,8.0,0.0097525085839813
0.1,1000.0,63100.0,2.0,3.0,0.2687670853873443
0.1,1000.0,63100.0,2.0,3.56,0.1927585906549191
0.1,1000.0,63100.0,2.0,4.11,0.1390588965008572
0.1,1000.0,63100.0,2.0,4.67,0.0989566301468182
0.1,1000.0,63100.0,2.0,5.22,0.0698011129528844
0.1,1000.0,63100.0,2.0,5.78,0.0478066852441112
0.1,1000.0,63100.0,2.0,6.33,0.0320258480111347
0.1,1000.0,63100.0,2.0,6.89,0.020669410084446
0.1,1000.0,63100.0,2.0,7.44,0.0132963223042475
0.1,1000.0,63100.0,2.0,8.0,0.0091551658852327
0.1,1280.0,10000.0,2.0,3.0,0.4273902225815977
0.1,1280.0,10000.0,2.0,3.56,0.3185582541597169
0.1,1280.0,10000.0,2.0,4.11,0.2406272499005178
0.1,1280.0,10000.0,2.0,4.67,0.1814000000355313
0.1,1280.0,10000.0,2.0,5.22,0.1374401201018467
0.1,1280.0,10000.0,2.0,5.78,0.1035670179975216
