coord,z,M_black_hole,L_disk,magfield
0422.1+0211, 2.27, 7.94e+08, 3.98e+46, 2.20
1133.1+0033, 1.63, 5.01e+09, 2.51e+46, 1.40
0011.3+0054, 1.49, 6.03e+08, 3.02e+45, 1.60
1014.1+2306, 0.57, 3.98e+08, 6.03e+45, 2.00
1040.7+0614, 1.26, 1.00e+09, 6.03e+46, 2.20
1153.2+4935, 1.09, 1.00e+09, 3.98e+46, 1.90
1226.9+4940, 1.35, 2.00e+09, 1.00e+45, 2.50
1405.1+0405, 3.21, 3.02e+09, 3.98e+46, 2.00
2148.2+0659, 1.00, 3.02e+09, 1.00e+47, 2.00
2331.8-1607, 1.15, 7.94e+08, 3.02e+45, 2.60
0004.7-4740, 0.88, 1.00e+08, 1.29e+45, 6.40
0006.4+3825, 0.23, 5.01e+08, 5.75e+43, 0.40
0016.3-0013, 1.58, 7.41e+08, 8.51e+45, 2.20
0017.6-0512, 0.23, 7.94e+07, 6.17e+44, 4.00
0023.5+4454, 1.06, 5.01e+08, 1.10e+45, 1.70
0038.0-2501, 1.20, 5.01e+08, 8.51e+44, 1.60
0049.7+0237, 1.47, 7.94e+08, 1.00e+46, 1.20
0049.8-5737, 1.80, 2.00e+09, 7.08e+46, 2.90
0050.4-0449, 0.92, 5.01e+08, 2.29e+45, 2.80
0050.6-0929, 0.64, 5.01e+08, 1.82e+45, 1.10
0051.0-0649, 1.98, 1.00e+09, 1.00e+46, 2.80
0105.1-2415, 1.75, 2.00e+09, 2.00e+46, 2.80
0108.7+0134, 2.11, 5.01e+09, 7.94e+46, 2.40
0112.1+2245, 0.27, 5.01e+08, 5.13e+44, 0.80
0113.0-3554, 1.22, 7.08e+08, 6.03e+45, 0.80
0113.4+4948, 0.39, 5.01e+08, 1.82e+44, 0.80
0116.0-1134, 0.67, 5.62e+08, 5.62e+45, 1.80
0118.8-2142, 1.17, 1.00e+09, 7.94e+45, 3.00
0120.4-2700, 0.56, 5.01e+08, 1.41e+45, 2.20
